window,instrument,n_weeks,years,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,ulcer,upi,best_week,worst_week,pct_pos
RSST era (2023-09 onward),TripleEdge 75/25,144,2.74,2.861261418411954,0.4675437257626611,0.28557495163567787,1.3372997237692517,1.3752147259877832,2.0309547426002923,-0.23020883526141545,0.06799907381483576,6.287493369790301,0.11337260242868463,-0.0937445284916652,0.6180555555555556
RSST era (2023-09 onward),NTSX,144,2.74,1.66681750214331,0.20493507701108338,0.15149970220922646,1.0363490404281428,1.0953729954556115,1.2305048903371527,-0.16654552015224589,0.03400476226897128,4.8503523037884495,0.06732790476205097,-0.09472044422776948,0.5555555555555556
RSST era (2023-09 onward),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
RSST era (2023-09 onward),RSBT,144,2.74,1.1847414426827232,0.06381019640437646,0.12052210010610252,0.2430129342805603,0.221081307595197,0.3655993891020487,-0.17453583979202247,0.07890105053177704,0.30177286923178565,0.032379596975887326,-0.05844161140172943,0.5625
RSST era (2023-09 onward),RPAR,144,2.74,1.3341027925767128,0.11091213207494444,0.10661821968920346,0.6622502823122635,0.653965878746667,1.1031572140213053,-0.1005406397793836,0.03646942475969555,1.9444269423551064,0.04316950087087057,-0.03756862784276216,0.5763888888888888
RSST era (2023-09 onward),SWAN,144,2.74,1.4486064091849835,0.1447967980600715,0.11347739777255957,0.8911681129647551,0.9821376399498603,1.562095565377914,-0.09269394348804848,0.029884033968972257,3.506782189073906,0.05091377482300974,-0.03195834681203691,0.5486111111111112
RSST era (2023-09 onward),NTSI,144,2.74,1.5230198584245147,0.16591406506562278,0.14453037292615392,0.8533110879612777,0.7787452216584856,1.3695219752317949,-0.12114742812910427,0.040546078038412266,3.1054560923583083,0.062293897150365485,-0.07187232328103088,0.625
RSST era (2023-09 onward),NTSE,144,2.74,1.9888067860773415,0.2851445909515955,0.18023917555561403,1.2525615533696526,1.225295596053096,2.099722884167915,-0.13580105884524543,0.04978410517854079,4.924153805163981,0.06943249112783079,-0.09001440643788339,0.6180555555555556
RSST era (2023-09 onward),SPY,144,2.74,1.7429499349866877,0.2247325857335596,0.14573807598280544,1.1825515319915918,1.1855462675105701,1.3315781113700487,-0.16877161303164878,0.03312027320244716,5.577628680910465,0.058463977805344625,-0.09066696975241961,0.5972222222222222
RSST era (2023-09 onward),VTI,144,2.74,1.728205841285782,0.220942045871386,0.14788032252150607,1.1467259759966797,1.172035804254307,1.2703553221943735,-0.173921454896365,0.03484415117864721,5.1928957874074655,0.06050622628393776,-0.09128469956574092,0.6041666666666666
RSST era (2023-09 onward),QQQ,144,2.74,2.008408643342128,0.2897520197007244,0.1930033252089968,1.2002265895004092,1.243925446937996,1.3576883996098674,-0.21341569964358892,0.045181405479116164,5.5277611896373,0.07507037121787796,-0.09866934829415719,0.5902777777777778
RSST era (2023-09 onward),AOR,144,2.74,1.467050065517779,0.1500938451224576,0.09086113184804945,1.138491781977977,1.1554650057646911,1.9278814577405066,-0.07785429156954954,0.0180868069411932,6.086969661389808,0.041273845607030735,-0.048646049030682925,0.6041666666666666
RSBT era (2023-02 onward),TripleEdge 75/25,174,3.32,3.3296437911458208,0.4373433298575069,0.27522999732089076,1.3036903304488239,1.3622212770358948,1.8997677884989876,-0.2302088352614154,0.0743516410644614,5.34410974887586,0.11337260242868463,-0.0937445284916652,0.6091954022988506
RSBT era (2023-02 onward),NTSX,174,3.32,1.769917399713635,0.18791444488525944,0.14740625214416164,0.966630650782869,1.019959543650369,1.128306811936337,-0.1665455201522458,0.0348528563069395,4.243969090585221,0.06732790476205097,-0.09472044422776948,0.5459770114942529
RSBT era (2023-02 onward),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
RSBT era (2023-02 onward),RSBT,173,3.3,1.0575269510091414,0.01711285787756278,0.1210971084554369,-0.12440033165390454,-0.11295023485166746,0.08262837354508551,-0.20710631400998455,0.11426021706808737,-0.20030718223473032,0.032379596975887326,-0.05844161140172943,0.5317919075144508
RSBT era (2023-02 onward),RPAR,174,3.32,1.272966850576196,0.07550865315497823,0.10659785338749754,0.36202727348987795,0.357934052037297,0.5735529509353019,-0.13165070989844108,0.04286498099228387,0.8283837373302498,0.04316950087087057,-0.03756862784276216,0.5517241379310345
RSBT era (2023-02 onward),SWAN,174,3.32,1.4467856712839195,0.11783974983123247,0.11169827033421026,0.6932442086554641,0.7587407978671745,1.0563772624692143,-0.11155081997485404,0.031952335085970486,2.4361208538217305,0.05091377482300974,-0.03195834681203691,0.5344827586206896
RSBT era (2023-02 onward),NTSI,174,3.32,1.5109636652483343,0.1325694640331867,0.143940869788904,0.6572389773154896,0.5989052882687047,1.0022071984308214,-0.13227750133979652,0.043079992844713054,2.1487808590605924,0.062293897150365485,-0.07187232328103088,0.6149425287356322
