variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
ATR_stop_3.5x,R50_UGL_25_S6%,50,UGL,25,0.06,0.11551029574811356,-0.5621799602761638,0.3521612028574688,0.2905875840432677,0.20546854016527125,0.3483047926825864,0.18234114798986165,118,0.10625757165395289,0.1295700908300086,0.3202705004105855,0.40137445218805895,0.7979344441696723,-0.019398445229671157,-0.15239356422002073
ATR_stop_4.0x,R50_UGL_25_S6%,50,UGL,25,0.06,0.1332571191188523,-0.540590754729744,0.4101653057842836,0.33661041435818734,0.24650277118681235,0.3289467865901835,0.24702207904552667,102,0.13227803572705943,0.1348753367195108,0.4040768858643521,0.4189003036259833,0.9646134948260473,-0.0016516218589324172,-0.11135933319847963
golden_cross,R50_UGL_25_S6%,50,UGL,25,0.06,0.12850913560795618,-0.38698284315052844,0.41983748098005114,0.3162520522219371,0.3320796719609834,0.17848518941592592,0.42865817527114897,168,0.12365809260275484,0.13592775645393096,0.40387231749417735,0.4417128176091128,0.9143323476104743,-0.0063996053698285316,-0.025782432424308555
partial_exit_15pct,R50_UGL_25_S6%,50,UGL,25,0.06,0.13565275313713188,-0.39043835683825495,0.4422863363065622,0.3812907038459313,0.3474370557125567,0.198113600151156,0.42224639334859804,252,0.1361213239928687,0.13511628527467967,0.43660637565167687,0.451552081247531,0.9669014799919365,0.0007440121593471627,-0.010425048672735304
DXY_below_SMA40,R50_UGL_25_S6%,50,UGL,25,0.06,0.1096428519079582,-0.345408890878844,0.35189669940238666,0.2608102387326102,0.3174291536879305,0.17794444853379224,0.3239373432715527,162,0.1366805270739646,0.07063400070129044,0.4518959504113418,0.18759167257657763,2.408933958552298,-0.02526588906982652,-0.04043295069736147
TIP_above_SMA20,R50_UGL_25_S6%,50,UGL,25,0.06,0.09287677315139797,-0.3600207908673444,0.2829901727274387,0.20696607058921937,0.2579761377881644,0.19788212763647334,0.20657132425062744,170,0.07785734707885039,0.11573419591547185,0.22003114823757244,0.3699307394979692,0.5947901181074474,-0.04203196782638674,-0.09988596659712756
GDX_above_SMA10,R50_UGL_25_S6%,50,UGL,25,0.06,0.0770399029815465,-0.4515720690686246,0.2171792512821219,0.14092202549695035,0.17060378233853715,0.19901226473647385,0.12582090362472687,138,0.06946564765898855,0.0884777432705548,0.1809616275002257,0.2621084531010848,0.6904074453120975,-0.05786883799623821,-0.18725832204675483
GLD_low_vol,R50_UGL_25_S6%,50,UGL,25,0.06,0.11045579725682275,-0.3336217880348225,0.3665826863608536,0.26809451402969325,0.33108088625582716,0.1710180528704165,0.3418106818296884,158,0.10150668822435538,0.12404416553201347,0.3260137043727543,0.426431597071869,0.764515825307873,-0.02445294372096196,-0.026781218129464823
UGL_above_SMA50,R50_UGL_25_S6%,50,UGL,25,0.06,0.12239801970671693,-0.414394136153287,0.38312433133708373,0.3225556099237317,0.2953661961602689,0.2368104943689133,0.297275760072727,206,0.13161654223818675,0.10892909629859604,0.4111269626351501,0.33774169330336007,1.2172822330995874,-0.012510721271067782,-0.0624959082250231
EMA_regime,R45_UGL_25_S6%,45,UGL,25,0.06,0.1250185722377919,-0.38698284315052855,0.3910924166143872,0.3348398636052969,0.3230597284881753,0.21491298269475603,0.3397587773536288,224,0.12797558508975726,0.12076496676041537,0.3982747599425277,0.3790194733310585,1.050802895276704,-0.0068163148535407,-0.03387026172472957
