end,trough,trough_date,cagr,max_dd,weeks_underwater,ended_below_lump,ever_down_30,ever_down_40,ever_down_50,start_date,end_date,label,horizon_yr,monthly_contrib
114622.61684005047,60058.520575250644,2015-09-25,0.24081306096583988,-0.31539902969316014,0,False,True,False,False,2015-09-25,2018-09-14,TripleEdge 3yr,3.0,0.0
116516.12452470233,60058.520575250644,2015-10-02,0.2476083139879348,-0.31539902969316,0,False,True,False,False,2015-10-02,2018-09-21,TripleEdge 3yr,3.0,0.0
115078.03905185341,60035.998630034934,2015-10-09,0.24245423521119758,-0.3153990296931601,0,False,True,False,False,2015-10-09,2018-09-28,TripleEdge 3yr,3.0,0.0
112597.1472928233,60070.62838219743,2015-12-11,0.2334608770116242,-0.31539902969315997,0,False,True,False,False,2015-10-16,2018-10-05,TripleEdge 3yr,3.0,0.0
99957.78101193788,58857.871657609314,2015-12-11,0.1854642241921134,-0.3153990296931601,15,False,True,False,False,2015-10-23,2018-10-12,TripleEdge 3yr,3.0,0.0
95389.14137686332,56188.670157209504,2015-12-11,0.1671210349884511,-0.31539902969316014,22,False,True,False,False,2015-10-30,2018-10-19,TripleEdge 3yr,3.0,0.0
86486.27214450228,55984.05300229992,2015-12-11,0.1296189670163057,-0.31539902969316025,22,False,True,False,False,2015-11-06,2018-10-26,TripleEdge 3yr,3.0,0.0
84596.59319099614,54707.47273464686,2015-12-11,0.12133111819440479,-0.3153990296931602,30,False,True,False,False,2015-11-13,2018-11-02,TripleEdge 3yr,3.0,0.0
91836.91658671749,59331.82308310304,2015-12-11,0.1524497937252196,-0.31539902969316014,12,False,True,False,False,2015-11-20,2018-11-09,TripleEdge 3yr,3.0,0.0
85374.88242333198,55103.24032553081,2015-12-11,0.12475937755649014,-0.31539902969316,24,False,True,False,False,2015-11-27,2018-11-16,TripleEdge 3yr,3.0,0.0
85304.49769624409,55004.16421156952,2015-12-11,0.12445020134895102,-0.3153990296931601,27,False,True,False,False,2015-12-04,2018-11-23,TripleEdge 3yr,3.0,0.0
85452.23698840283,55045.737731886744,2015-12-11,0.12509897395747016,-0.31539902969316014,25,False,True,False,False,2015-12-11,2018-11-30,TripleEdge 3yr,3.0,0.0
93234.01129377994,60058.520575250644,2015-12-18,0.15826439520668711,-0.31539902969316014,0,False,True,False,False,2015-12-18,2018-12-07,TripleEdge 3yr,3.0,0.0
93234.01129378003,60058.520575250644,2015-12-25,0.15826439520668756,-0.3153990296931601,0,False,True,False,False,2015-12-25,2018-12-14,TripleEdge 3yr,3.0,0.0
93234.01129378004,60058.520575250644,2016-01-01,0.15826439520668756,-0.3153990296931602,0,False,True,False,False,2016-01-01,2018-12-21,TripleEdge 3yr,3.0,0.0
93222.3570423684,60025.719125852425,2016-02-26,0.1582161321792055,-0.3153990296931601,0,False,True,False,False,2016-01-08,2018-12-28,TripleEdge 3yr,3.0,0.0
93318.50142462384,59967.23051208983,2016-02-26,0.15861416872275247,-0.3153990296931599,1,False,True,False,False,2016-01-15,2019-01-04,TripleEdge 3yr,3.0,0.0
93382.9905647157,59908.79888919698,2016-02-26,0.15888099979138404,-0.3153990296931601,1,False,True,False,False,2016-01-22,2019-01-11,TripleEdge 3yr,3.0,0.0
93037.260730557,59850.42420164239,2016-02-26,0.15744906447404405,-0.31539902969316014,1,False,True,False,False,2016-01-29,2019-01-18,TripleEdge 3yr,3.0,0.0
93679.75725632018,59792.1063939487,2016-02-26,0.16010732449453924,-0.31539902969316014,2,False,True,False,False,2016-02-05,2019-01-25,TripleEdge 3yr,3.0,0.0
94266.77844044338,59733.845410692586,2016-02-26,0.16252545647601302,-0.31539902969315997,2,False,True,False,False,2016-02-12,2019-02-01,TripleEdge 3yr,3.0,0.0
94281.82054453438,59683.10158420276,2016-02-26,0.16258728772831943,-0.3153990296931601,2,False,True,False,False,2016-02-19,2019-02-08,TripleEdge 3yr,3.0,0.0
100071.43146466774,59821.3608315649,2016-02-26,0.18591333885904238,-0.31539902969316,1,False,True,False,False,2016-02-26,2019-02-15,TripleEdge 3yr,3.0,0.0
102013.09250992203,60700.98229423663,2016-03-11,0.19353425409079872,-0.31539902969315997,0,False,True,False,False,2016-03-04,2019-02-22,TripleEdge 3yr,3.0,0.0
99787.23358961848,59701.14801885642,2016-03-11,0.18478962951263078,-0.31539902969316,2,False,True,False,False,2016-03-11,2019-03-01,TripleEdge 3yr,3.0,0.0
95826.59849761827,60122.60449214826,2016-03-25,0.16890246382417118,-0.3153990296931601,0,False,True,False,False,2016-03-18,2019-03-08,TripleEdge 3yr,3.0,0.0
99173.55770127194,58326.107506341636,2016-03-25,0.18235587659962094,-0.3153990296931601,2,False,True,False,False,2016-03-25,2019-03-15,TripleEdge 3yr,3.0,0.0
100539.22798495422,61373.59387945919,2016-04-08,0.18775836736105367,-0.3153990296931602,0,False,True,False,False,2016-04-01,2019-03-22,TripleEdge 3yr,3.0,0.0
98063.75345695812,58811.928232621096,2016-04-08,0.1779289274067004,-0.31539902969316,4,False,True,False,False,2016-04-08,2019-03-29,TripleEdge 3yr,3.0,0.0
104574.0637190953,60732.35197623745,2016-05-20,0.2034394522919747,-0.3153990296931599,0,False,True,False,False,2016-04-15,2019-04-05,TripleEdge 3yr,3.0,0.0
102482.33793002671,58826.521080725484,2016-05-20,0.1953614834008197,-0.3153990296931602,4,False,True,False,False,2016-04-22,2019-04-12,TripleEdge 3yr,3.0,0.0
100189.05873952311,58024.58522469972,2016-05-20,0.18637781085972782,-0.31539902969316014,5,False,True,False,False,2016-04-29,2019-04-19,TripleEdge 3yr,3.0,0.0
103208.36935424505,58258.58147956225,2016-05-20,0.19817767132283515,-0.3153990296931601,4,False,True,False,False,2016-05-06,2019-04-26,TripleEdge 3yr,3.0,0.0
104634.30721923424,58871.927433528246,2016-05-20,0.20367050221250937,-0.3153990296931601,3,False,True,False,False,2016-05-13,2019-05-03,TripleEdge 3yr,3.0,0.0
