regime_period,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,upi,num_trades,pct_time_upro,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,total_return,worst_1yr
30,15,0.28,0.1252298101367011,-0.7959801251275753,0.37030709304753917,0.3072316408868816,0.15732781031012547,0.194083466851478,114,0.6932826362484157,0.0819174746022191,0.22419811839114212,0.25016553287132076,0.6197186049226587,0.4036760085693112,35.45296932546803,-0.5526957615201697
30,15,0.3,0.1252298101367011,-0.7959801251275753,0.37030709304753917,0.3072316408868816,0.15732781031012547,0.194083466851478,114,0.6932826362484157,0.0819174746022191,0.22419811839114212,0.25016553287132076,0.6197186049226587,0.4036760085693112,35.45296932546803,-0.5526957615201697
35,8,0.1,0.0705896941485813,-0.6600118931287626,0.21154466327669955,0.16608598730712715,0.10695215477701983,0.05252609913063256,186,0.6229404309252218,0.04547016000962145,0.12431157282517669,0.12916540384459269,0.3915222879184726,0.3299056218007416,7.86809170505025,-0.5019138664674564
35,8,0.12,0.07277867086902123,-0.6673591008717911,0.2209213234378741,0.17502965960996625,0.1090547364588994,0.06331408881238529,168,0.6406844106463878,0.05073195317699741,0.11901952059768561,0.1502970356789544,0.374086156486304,0.40177117776999866,8.36944202032882,-0.5019138664674564
35,8,0.15,0.11027333522218186,-0.7009259972939852,0.3315301059038557,0.2667602205821022,0.15732521785167938,0.17698987676905828,136,0.6660329531051965,0.09231465594584454,0.14654241863205253,0.27857406907175675,0.4470203027171399,0.623179903414878,23.65401948334069,-0.5353549558444552
35,8,0.18,0.12861900205153032,-0.7009259972939855,0.38169048423438234,0.3104161149572948,0.18349868965922284,0.2384184657378533,122,0.6812420785804816,0.09920628604776915,0.19257692042768815,0.2986135247406494,0.5604229528306913,0.5328360004392311,38.82870930910282,-0.5353549558444552
35,8,0.2,0.12952855750349612,-0.7173294306980467,0.38358725913719716,0.3134177859996546,0.180570532812866,0.23330865374586007,118,0.6869455006337135,0.09607599502046704,0.20349827743929083,0.2898682871950888,0.5845550130583522,0.4958785413172963,39.786290572366276,-0.5608395314657768
35,8,0.22,0.14927143061428128,-0.7173294306980467,0.43421472162230434,0.3595108627287059,0.2080932751762638,0.2959021326000549,112,0.6894803548795945,0.11278280000318586,0.23071509921520206,0.33622092543095333,0.642378510794993,0.5234000200518134,67.19217687996884,-0.5608395314657768
35,8,0.25,0.14544993485213475,-0.6834232244770418,0.42370174751499673,0.35032954979561226,0.21282556641740352,0.30582597591267724,110,0.6951837769328264,0.107454419270953,0.23071509921520184,0.3217229276690623,0.6423785107949929,0.5008307754113777,60.753773219672304,-0.5081624330080012
35,8,0.28,0.1521842813485641,-0.6834232244770418,0.4406290878269248,0.3656198325679182,0.2226794113779439,0.3351552928056888,108,0.6977186311787072,0.107454419270953,0.25456229473555836,0.3217229276690623,0.6925375889916605,0.4645566288141747,72.53792651956125,-0.5081624330080012
